,prdtypecode
0.0,10
1.0,2280
2.0,50
3.0,1280
4.0,2705
5.0,2280
6.0,10
7.0,2522
8.0,1280
9.0,2582
10.0,1560
11.0,1560
12.0,1281
13.0,1920
14.0,1560
15.0,2522
16.0,2403
17.0,2522
18.0,1140
19.0,2280
20.0,2583
21.0,1280
22.0,1180
23.0,1140
24.0,1300
25.0,2462
26.0,1280
27.0,2522
28.0,2280
29.0,1160
30.0,2060
31.0,40
32.0,1560
33.0,2522
34.0,40
35.0,2060
36.0,2060
37.0,1281
38.0,1920
39.0,2583
40.0,60
41.0,1180
42.0,2522
43.0,1281
44.0,2280
45.0,1920
46.0,10
47.0,40
48.0,1160
49.0,1280
50.0,40
51.0,2403
52.0,1281
53.0,2583
54.0,2403
55.0,1280
56.0,2705
57.0,2403
58.0,2583
59.0,1300
60.0,1280
61.0,2403
62.0,1320
63.0,1300
64.0,2583
65.0,2583
66.0,1140
67.0,2060
68.0,2280
69.0,2403
70.0,2583
71.0,2462
72.0,1140
73.0,2582
74.0,2403
75.0,2280
76.0,1302
77.0,2060
78.0,1560
79.0,1302
80.0,50
81.0,1300
82.0,2220
83.0,2060
84.0,2583
85.0,1560
86.0,2462
87.0,1560
88.0,1280
89.0,2522
90.0,2583
91.0,2583
92.0,1920
93.0,1280
94.0,2522
95.0,1560
96.0,2403
97.0,2522
98.0,1140
99.0,2060
100.0,2582
101.0,40
102.0,2280
103.0,1920
104.0,1300
105.0,1300
106.0,1180
107.0,40
108.0,2583
109.0,1160
110.0,1140
111.0,2705
112.0,2280
113.0,2403
114.0,1302
115.0,1160
116.0,2583
117.0,2583
118.0,2583
119.0,1560
120.0,1302
121.0,2060
122.0,2403
123.0,2060
124.0,1320
125.0,1302
126.0,1140
127.0,2280
128.0,1280
129.0,2280
130.0,2583
131.0,10
132.0,1560
133.0,1560
134.0,1300
135.0,1281
136.0,1280
137.0,2280
138.0,1320
139.0,2583
140.0,1300
141.0,2705
142.0,40
143.0,1320
144.0,2705
145.0,2583
146.0,1300
147.0,1280
148.0,2905
149.0,2522
150.0,2705
151.0,1280
152.0,2583
153.0,1300
154.0,1180
155.0,1160
156.0,2403
157.0,1920
158.0,1560
159.0,2522
160.0,1140
161.0,2403
162.0,2585
163.0,50
164.0,2705
165.0,50
166.0,2280
167.0,2583
168.0,2060
169.0,2280
170.0,1560
171.0,2583
172.0,1280
173.0,2280
174.0,2583
175.0,2060
176.0,2585
177.0,1920
178.0,2583
179.0,1160
180.0,60
181.0,1300
182.0,1560
183.0,2060
184.0,2583
185.0,1302
186.0,2280
187.0,2060
188.0,10
189.0,2403
190.0,2060
191.0,1320
192.0,2403
193.0,2403
194.0,1560
195.0,40
196.0,1140
197.0,2705
198.0,2522
199.0,1300
200.0,1940
201.0,2583
202.0,1280
203.0,1940
204.0,40
205.0,1920
206.0,2583
207.0,50
208.0,2583
209.0,1280
210.0,2522
211.0,50
212.0,2060
213.0,2060
214.0,1280
215.0,1280
216.0,2060
217.0,2705
218.0,2583
219.0,1300
220.0,1560
221.0,2705
222.0,2280
223.0,1560
224.0,2583
225.0,1160
226.0,1920
227.0,1300
228.0,1160
229.0,1281
230.0,1320
231.0,2522
232.0,2280
233.0,2280
234.0,2583
235.0,1300
236.0,2403
237.0,1300
238.0,2462
239.0,1920
240.0,1160
241.0,2583
242.0,2583
243.0,2522
244.0,2705
245.0,1320
246.0,1302
247.0,10
248.0,2583
249.0,2582
250.0,1920
251.0,1560
252.0,40
253.0,1920
254.0,2522
255.0,2403
256.0,1920
257.0,1301
258.0,10
259.0,10
260.0,2060
261.0,1920
262.0,2705
263.0,1560
264.0,2583
265.0,2583
266.0,2582
267.0,1300
268.0,1920
269.0,1302
270.0,60
271.0,1560
272.0,2585
273.0,1560
274.0,1300
275.0,2585
276.0,1140
277.0,1300
278.0,2522
279.0,1281
280.0,1280
281.0,2582
282.0,40
283.0,2403
284.0,2522
285.0,2280
286.0,2403
287.0,2905
288.0,1160
289.0,1301
290.0,1320
291.0,2403
292.0,1140
293.0,1300
294.0,1302
295.0,1302
296.0,2583
297.0,2522
298.0,2403
299.0,60
300.0,10
301.0,2582
302.0,2582
303.0,1560
304.0,1140
305.0,1560
306.0,1281
307.0,1920
308.0,2522
309.0,1920
310.0,1160
311.0,2060
312.0,2583
313.0,2522
314.0,1320
315.0,1300
316.0,2583
317.0,2583
318.0,2280
319.0,2583
320.0,2220
321.0,1320
322.0,2705
323.0,2060
324.0,2462
325.0,2280
326.0,2583
327.0,1280
328.0,2583
329.0,1320
330.0,1281
331.0,1280
332.0,40
333.0,1280
334.0,1300
335.0,10
336.0,1560
337.0,2060
338.0,2220
339.0,2585
340.0,2060
341.0,50
342.0,2582
343.0,2583
344.0,2583
345.0,2060
346.0,40
347.0,1140
348.0,1300
349.0,1280
350.0,1920
351.0,1300
352.0,2585
353.0,2403
354.0,2220
355.0,2220
356.0,1281
357.0,2583
358.0,1300
359.0,2522
360.0,1300
361.0,1280
362.0,1140
363.0,2705
364.0,1140
365.0,2522
366.0,2462
367.0,1281
368.0,1920
369.0,2522
370.0,1140
371.0,1302
372.0,10
373.0,2280
374.0,2403
375.0,60
376.0,1920
377.0,1560
378.0,2583
379.0,1920
380.0,2280
381.0,1300
382.0,1320
383.0,1320
384.0,2583
385.0,2403
386.0,10
387.0,1560
388.0,2522
389.0,2462
390.0,1140
391.0,10
392.0,2403
393.0,1300
394.0,1320
395.0,1280
396.0,1140
397.0,2522
398.0,2582
399.0,1300
400.0,1281
401.0,2060
402.0,1300
403.0,10
404.0,1281
405.0,2582
406.0,1940
407.0,2582
408.0,1140
409.0,1140
410.0,1300
411.0,2060
412.0,1560
413.0,2585
414.0,2280
415.0,50
416.0,2403
417.0,2403
418.0,1140
419.0,1302
420.0,1920
421.0,40
422.0,40
423.0,2522
424.0,50
425.0,1560
426.0,2583
427.0,1300
428.0,1160
429.0,2585
430.0,2585
431.0,2220
432.0,10
433.0,50
434.0,1560
435.0,2280
436.0,2280
437.0,1560
438.0,2280
439.0,1280
440.0,2403
441.0,1281
442.0,1940
443.0,1160
444.0,1560
445.0,1300
446.0,1920
447.0,1160
448.0,2522
449.0,2462
450.0,1320
451.0,1920
452.0,1560
453.0,1302
454.0,1300
455.0,2280
456.0,2582
457.0,2705
458.0,2403
459.0,1281
460.0,10
461.0,2060
462.0,2060
463.0,2060
464.0,2280
465.0,2403
466.0,1300
467.0,1300
468.0,2585
469.0,1920
470.0,2585
471.0,2060
472.0,2583
473.0,1560
474.0,1140
475.0,2583
476.0,40
477.0,10
478.0,2583
479.0,1280
480.0,2705
481.0,50
482.0,1140
483.0,40
484.0,1280
485.0,1140
486.0,50
487.0,2582
488.0,2220
489.0,2522
490.0,2280
491.0,50
492.0,2585
493.0,2582
494.0,2582
495.0,1280
496.0,1300
497.0,2582
498.0,2583
499.0,2280
500.0,2583
501.0,1281
502.0,1300
503.0,2522
504.0,2583
505.0,1560
506.0,40
507.0,50
508.0,2583
509.0,2585
510.0,2583
511.0,2280
512.0,2403
513.0,10
514.0,2705
515.0,2705
516.0,1300
517.0,2280
518.0,2280
519.0,2280
520.0,1920
521.0,2403
522.0,2583
523.0,2585
524.0,1180
525.0,2705
526.0,2060
527.0,1560
528.0,2705
529.0,50
530.0,60
531.0,1280
532.0,1560
533.0,2583
534.0,2583
535.0,2280
536.0,2585
537.0,1281
538.0,10
539.0,2280
540.0,1560
541.0,2585
542.0,1920
543.0,2220
544.0,1920
545.0,2582
546.0,2403
547.0,2060
548.0,1302
549.0,2403
550.0,2705
551.0,2583
552.0,1280
553.0,2060
554.0,2705
555.0,50
556.0,40
557.0,40
558.0,2583
559.0,2522
560.0,1320
561.0,2585
562.0,2403
563.0,1281
564.0,1302
565.0,2582
566.0,2583
567.0,1280
568.0,1160
569.0,2522
570.0,1300
571.0,1140
572.0,2280
573.0,1560
574.0,2583
575.0,2582
576.0,1302
577.0,1300
578.0,2462
579.0,1302
580.0,10
581.0,2522
582.0,1320
583.0,2060
584.0,2705
585.0,1302
586.0,1160
587.0,1320
588.0,1320
589.0,2462
590.0,2403
591.0,1160
592.0,2403
593.0,2583
594.0,1280
595.0,1920
596.0,2462
597.0,1560
598.0,1280
599.0,2705
600.0,1300
601.0,1300
602.0,2585
603.0,2583
604.0,2705
605.0,2522
606.0,2280
607.0,2583
608.0,1560
609.0,1280
610.0,2583
611.0,2905
612.0,1280
613.0,10
614.0,2060
615.0,1320
616.0,2462
617.0,1302
618.0,2280
619.0,1560
620.0,2403
621.0,2280
622.0,10
623.0,2583
624.0,10
625.0,2462
626.0,1302
627.0,1560
628.0,2705
629.0,2585
630.0,1300
631.0,1320
632.0,2280
633.0,1560
634.0,2522
635.0,2583
636.0,1140
637.0,1280
638.0,2522
639.0,2403
640.0,1300
641.0,2060
642.0,2522
643.0,2522
644.0,1160
645.0,1560
646.0,1160
647.0,2582
648.0,2583
649.0,2582
650.0,2060
651.0,2522
652.0,1920
653.0,2905
654.0,2403
655.0,2583
656.0,10
657.0,1300
658.0,2060
659.0,2583
660.0,2522
661.0,1281
662.0,1281
663.0,1280
664.0,2280
665.0,2585
666.0,1180
667.0,1160
668.0,1302
669.0,40
670.0,1280
671.0,1920
672.0,2905
673.0,1302
674.0,2060
675.0,2403
676.0,2403
677.0,2060
678.0,1281
679.0,50
680.0,2462
681.0,2280
682.0,2280
683.0,2522
684.0,2403
685.0,10
686.0,1160
687.0,1302
688.0,1560
689.0,10
690.0,1560
691.0,2905
692.0,2583
693.0,10
694.0,60
695.0,2705
696.0,1160
697.0,40
698.0,1280
699.0,2060
700.0,2585
701.0,2583
702.0,1940
703.0,10
704.0,2522
705.0,2705
706.0,2280
707.0,1140
708.0,2060
709.0,2585
710.0,1320
711.0,2522
712.0,2583
713.0,2522
714.0,1560
715.0,2583
716.0,1302
717.0,2060
718.0,1560
719.0,2583
720.0,2583
721.0,1180
722.0,2583
723.0,2583
724.0,1940
725.0,1560
726.0,2522
727.0,40
728.0,1320
729.0,1302
730.0,2583
731.0,1320
732.0,1560
733.0,1281
734.0,2280
735.0,2403
736.0,1300
737.0,2585
738.0,1160
739.0,2403
740.0,2583
741.0,2583
742.0,2403
743.0,1160
744.0,1140
745.0,2905
746.0,2583
747.0,1180
748.0,2522
749.0,2583
750.0,1160
751.0,1320
752.0,40
753.0,1140
754.0,2403
755.0,1300
756.0,1280
757.0,2583
758.0,1560
759.0,2585
760.0,1300
761.0,2585
762.0,1280
763.0,2060
764.0,1180
765.0,2462
766.0,2280
767.0,2060
768.0,1560
769.0,1560
770.0,2403
771.0,2522
772.0,1300
773.0,2280
774.0,2705
775.0,2585
776.0,50
777.0,2705
778.0,2585
779.0,1300
780.0,2060
781.0,2583
782.0,1320
783.0,1280
784.0,1920
785.0,50
786.0,2522
787.0,2403
788.0,2522
789.0,2522
790.0,2583
791.0,1300
792.0,2060
793.0,2583
794.0,2280
795.0,2403
796.0,1300
797.0,2583
798.0,1300
799.0,2905
800.0,2582
801.0,1160
802.0,1920
803.0,2403
804.0,1302
805.0,2585
806.0,2582
807.0,2583
808.0,2582
809.0,1160
810.0,1140
811.0,2583
812.0,2403
813.0,2060
814.0,1160
815.0,1280
816.0,2582
817.0,2583
818.0,2583
819.0,1302
820.0,1302
821.0,1300
822.0,2280
823.0,1280
824.0,2060
825.0,2522
826.0,2583
827.0,2462
828.0,2582
829.0,40
830.0,2060
831.0,1160
832.0,2522
833.0,2522
834.0,1140
835.0,2522
836.0,2403
837.0,10
838.0,1281
839.0,1920
840.0,2583
841.0,1281
842.0,2403
843.0,2280
844.0,1320
845.0,1280
846.0,2280
847.0,2522
848.0,2583
849.0,2522
850.0,2582
851.0,1280
852.0,2280
853.0,2522
854.0,2522
855.0,1302
856.0,1280
857.0,1280
858.0,1281
859.0,40
860.0,1302
861.0,2522
862.0,2582
863.0,1920
864.0,2705
865.0,2522
866.0,1280
867.0,2583
868.0,1160
869.0,1560
870.0,2582
871.0,2705
872.0,2582
873.0,2403
874.0,2582
875.0,2583
876.0,1302
877.0,2280
878.0,2403
879.0,2705
880.0,1560
881.0,2583
882.0,1320
883.0,2583
884.0,1281
885.0,1560
886.0,1281
